mes,date,ethereum,bitcoin,litecoin,monero,binance
Octubre,2019-10-01,180.429093873,8365.18581821,56.5358725113,56.9448229639,16.03820027395
Octubre,2019-10-02,178.080198222,8310.368673765,56.24280165075,55.74886802985,15.82141399845
Octubre,2019-10-03,176.69953969300002,8280.332006035,55.8744506019,55.70830547475,15.71877935665
Octubre,2019-10-04,176.0580820015,8205.646119685,56.78376613695,56.3943412965,15.7022904822
Octubre,2019-10-05,175.391400735,8143.323382164999,56.6561658581,56.7789787127,15.6367822411
Octubre,2019-10-06,174.332162906,8060.13049538,55.76852078935,55.9816999291,15.5061832525
Octubre,2019-10-07,176.942079641,8107.108059885,56.54977994245,56.10110565125,15.6924268382
Octubre,2019-10-08,181.7466769515,8259.23906946,57.6622925988,56.13473474825,16.117573137049998
Octubre,2019-10-09,187.4844690485,8398.502596975,58.4557551294,56.4136518564,16.98756650095
Octubre,2019-10-10,191.1016992085,8548.603227805,58.4197691908,56.4220258827,17.53576447915
Octubre,2019-10-11,188.4903196025,8518.981061175,57.1191207543,55.3904912186,17.1677886906
Octubre,2019-10-12,183.144863125,8364.291760995,56.3362862035,54.5061431976,17.10140336155
Octubre,2019-10-13,182.696539707,8373.800068205,56.80143175575,53.55840422175,17.972455892550002
Octubre,2019-10-14,184.482944905,8337.170116599998,56.903629647200006,53.22193726995,18.2875169437
Octubre,2019-10-15,183.6113268115,8296.710669635,56.0431034785,52.7319280442,18.67536871715
Octubre,2019-10-16,177.866383388,8100.95092689,53.8585097714,53.59711967495,18.06333474865
Octubre,2019-10-17,176.73268909,8067.887041625,53.73888111875,57.7915880146,18.23537883105
Octubre,2019-10-18,174.592423264,8020.28890454,53.91538968965,56.9272736395,18.28082765845
Octubre,2019-10-19,173.9118426265,8013.703179354999,53.7693174115,55.054739305,18.24306164605
Octubre,2019-10-20,173.9646995385,8115.62893189,54.3302620382,55.62576667665,18.225239598
Octubre,2019-10-21,175.5147356025,8246.555159775,54.79011456205,57.68383320885,18.28588169875
Octubre,2019-10-22,173.95812762600002,8185.556977914999,54.46588122525,57.42719866115,18.48668481815
Octubre,2019-10-23,164.94200085,7781.16109562,51.1568893545,54.85967113555,17.362444853950002
Octubre,2019-10-24,162.5177615145,7489.928103485,49.7433723131,52.93484189315,16.8268578667
Octubre,2019-10-25,172.48306754499998,8085.762160185,53.46475939265,56.49373480049999,17.69420086035
Octubre,2019-10-26,186.038155057,9342.183181275,58.22901455805,59.95002590585,18.98179293735
Octubre,2019-10-27,182.9188463145,9431.035743255,58.89514189665,58.36581731285,19.07996318035
Octubre,2019-10-28,184.0663575715,9530.633239105,59.7910399939,60.29064524735,20.1078182544
Octubre,2019-10-29,187.105565391,9374.41456675,59.3536100124,61.1213202666,20.30901988235
Octubre,2019-10-30,186.3291567025,9256.122287135,59.2467317725,58.772527092,19.906196636
Octubre,2019-10-31,184.4098118375,9205.93916592,58.8869864934,59.03843308735,19.966174776800003
Noviembre,2019-11-01,183.0771025815,9203.852423565,58.23533548645,60.07619792215,19.92090849645
