mes,date,ethereum,bitcoin,litecoin,monero,binance
Abril,2021-04-01,1950.616728555,59045.67565142,200.7050004,250.73901314,320.398883835
Abril,2021-04-02,2056.565352625,59568.2338092,208.456062395,257.224192605,343.26743545
Abril,2021-04-03,2086.692425585,58857.07881726,207.693225285,261.20102651,334.4118426
Abril,2021-04-04,2058.732643685,58041.21178709,200.8769605,260.330042095,336.64161439500003
Abril,2021-04-05,2086.68645796,58793.06146477,213.16465296,264.746092565,360.245463265
Abril,2021-04-06,2104.4162296,58563.193720865005,231.07546494,268.97444642,388.19320086
Abril,2021-04-07,2039.31482169,57167.58324676,227.68896469,266.89010914,386.550740795
Abril,2021-04-08,2025.29793372,57108.911210295,223.21903305,261.902799905,397.49087786
Abril,2021-04-09,2079.01854465,58372.45517909,224.53827479,278.572175005,429.570717085
Abril,2021-04-10,2129.891884515,59657.685821755,237.93835749,286.221818135,469.31518932
Abril,2021-04-11,2142.528586425,60040.175472925,255.463549015,310.91248653,494.61772567
Abril,2021-04-12,2155.0438206850004,60421.455336015,249.85050246000003,330.026539075,576.860773
Abril,2021-04-13,2228.49137773,61806.11981512,258.961376465,319.288882135,567.6261479
Abril,2021-04-14,2367.12569506,63208.94779906,269.720486095,320.55095872,558.475864865
Abril,2021-04-15,2477.095737125,63015.318279125,278.98413869,333.936328635,546.45612693
Abril,2021-04-16,2433.115299655,61908.626495870005,292.22083732,331.309460575,520.947253435
Abril,2021-04-17,2415.53399,61466.76411483,317.81884353500004,360.070610385,528.825467315
Abril,2021-04-18,2188.613630995,56943.496217665,272.820843965,336.255865215,477.555828
Abril,2021-04-19,2181.7327573350003,55944.32421621,266.43351684000004,336.654338705,504.431718175
Abril,2021-04-20,2202.989417895,55255.099315535,254.132913325,371.139657995,531.82758651
Abril,2021-04-21,2352.783783665,55226.72096177,263.99724408500003,399.764826365,575.01822113
Abril,2021-04-22,2478.52752136,52997.02136051,265.31531988,367.744049605,531.648960655
Abril,2021-04-23,2278.288362435,49917.72689897,234.342180705,328.45509822,491.255248145
Abril,2021-04-24,2265.717086385,49986.42402751,231.3707546,367.531243175,505.700017075
Abril,2021-04-25,2263.30085607,48832.75246961,223.74645683,369.88256306,497.98622704
Abril,2021-04-26,2422.3262835,51570.399499160005,234.934542795,373.192692715,526.13910349
Abril,2021-04-27,2580.883944135,54368.07535586,253.305759565,398.82805529,552.195641345
Abril,2021-04-28,2660.7794034400004,55057.561732455,257.407621665,419.91181176,558.9803416699999
Abril,2021-04-29,2735.0395262350003,53766.93629971,255.920009615,412.35165846,584.5544205
Abril,2021-04-30,2762.11241946,55515.16043291,263.066424895,413.090482405,606.99162301
Mayo,2021-05-01,2853.6746934350003,57750.30649311,272.425419235,424.694602495,626.581402945
Mayo,2021-05-02,2922.708978745,57022.24934294,271.409598435,413.732284055,612.23987627
Mayo,2021-05-03,3200.606815195,57782.08878794,284.01475604,413.822633295,650.85885621
Mayo,2021-05-04,3352.164242115,55202.801897025,301.176824275,395.47785632,641.59230482
Mayo,2021-05-05,3377.282055805,55440.209479995,330.47584722,397.000127775,630.701591895
Mayo,2021-05-06,3492.567908465,56872.91036114,344.111522555,420.40778983,637.23945739
Mayo,2021-05-07,3471.776030385,56964.240338785,353.130288715,470.10130244,628.14349055
Mayo,2021-05-08,3701.966749945,58219.911572605,345.504318835,468.7123618650001,638.19267512
Mayo,2021-05-09,3862.62410195,57846.442667265,361.703118185,466.889629675,654.8468460250001
